,label,category,level,weight,parent,1D,1W,1M,3M,1Y,2Y,5Y
GFI.JO,Gold Fields,stocks,3,50,STXRES.JO,0.0,0.7994546355974219,14.092312008978675,-8.202804639948923,46.83623117988997,215.91955850897233,487.8981790128381
AMS.JO,Anglo Plat,stocks,3,45,STXRES.JO,,,,,,,
IMP.JO,Impala Plat,stocks,3,40,STXRES.JO,0.0,3.7378736883785386,16.31592967501332,-9.520207569688706,50.809463682036935,150.0587542313346,38.93399223438052
SSW.JO,Sibanye,stocks,3,35,STXRES.JO,0.0,3.1220613127703594,11.738332993682494,-20.29837120760717,42.153157801724596,207.58660095942219,40.43880247147732
EXX.JO,Exxaro,stocks,3,30,STXRES.JO,0.0,-2.069886490095705,3.4515188563904826,15.576569477278698,37.04188330392116,30.313282896323773,8.000721027540951
EURUSD=X,EUR/USD,fx,1,100,,0.0,0.9727309258364427,2.105998812598173,-0.5985226597344425,1.215911160662542,11.763655607529481,20.28214037711758
GBPUSD=X,GBP/USD,fx,1,90,,0.0,0.98709160588234,1.4889092274727882,-0.4506836642024766,1.5323018868800113,6.980398278102603,19.133848076707206
USDJPY=X,USD/JPY,fx,1,90,,0.0,-0.20111120871566934,-0.37142701229920566,3.6034751678930754,7.880140238264064,4.9267913670921715,7.370249426087853
USDCAD=X,USD/CAD,fx,1,60,,0.0,-0.6236136110419022,-0.562469155021694,1.1867011840931463,-0.01965245778062061,-2.066119881731545,0.1552957529258217
USDCHF=X,USD/CHF,fx,1,60,,0.0,-1.259372034586626,-1.3441937710113814,1.2669600857409058,-3.1189116541666126,-11.461452454315777,-22.16430296943141
AUDUSD=X,AUD/USD,fx,1,50,,0.5997333663740987,1.3618338122013112,3.30057993230918,0.6562426621389668,10.335649094828362,10.386573123771562,13.15067995919972
NZDUSD=X,NZD/USD,fx,1,40,,0.1602413949633861,1.0678840627844677,1.8353829986709451,-2.2475094322852622,-0.261945152380917,0.33172173685087764,1.7123968860552463
USDZAR=X,USD/ZAR,fx,1,40,,0.0,-0.07900538002880482,-3.6085673154721767,3.122989816512615,-7.931560098185184,-9.93990516579192,-10.234821424274463
